date,open,high,low,close,volume
2020-05-07,2876.473,2882.022,2864.581,2871.523,22673695700
2020-05-08,2882.708,2903.797,2879.203,2895.344,22682207500
2020-05-11,2901.574,2914.284,2884.381,2894.802,22512041000
2020-05-12,2894.617,2897.902,2871.23,2891.556,19708298500
2020-05-13,2882.955,2900.259,2875.535,2898.05,18506131000
2020-05-14,2887.058,2887.058,2869.183,2870.342,19777620200
2020-05-15,2880.707,2884.22,2863.37,2868.459,18898359200
2020-05-18,2872.524,2889.98,2862.271,2875.418,22602288200
2020-05-19,2897.687,2900.219,2887.577,2898.576,19722240500
2020-05-20,2896.466,2896.466,2876.177,2883.738,21051998500
2020-05-21,2890.721,2891.518,2864.207,2867.924,20353203800
2020-05-22,2863.046,2863.046,2808.018,2813.765,20906371200
2020-05-25,2816.241,2821.498,2802.465,2817.97,17288555700
2020-05-26,2827.897,2848.337,2825.901,2846.547,17456236900
2020-05-27,2847.32,2848.997,2831.928,2836.804,19814934300
2020-05-28,2838.207,2861.924,2820.146,2846.222,20754601900
2020-05-29,2835.584,2855.376,2829.627,2852.351,20679280400
2020-06-01,2871.964,2917.151,2871.964,2915.431,26019605000
2020-06-02,2916.317,2926.359,2909.128,2921.398,25610804900
2020-06-03,2930.391,2942.76,2922.661,2923.371,25566398000
2020-06-04,2931.838,2932.968,2910.752,2919.251,22660587300
2020-06-05,2923.189,2930.799,2909.118,2930.799,21736067300
2020-06-08,2941.982,2950.066,2934.21,2937.771,23112436000
2020-06-09,2939.535,2957.119,2932.939,2956.112,20904858500
2020-06-10,2951.278,2951.33,2934.843,2943.753,20792596900
2020-06-11,2939.791,2952.651,2912.193,2920.897,23372294700
2020-06-12,2876.803,2930.255,2872.617,2919.741,23600864200
2020-06-15,2908.277,2922.536,2890.031,2890.031,24320504600
2020-06-16,2912.825,2931.779,2909.134,2931.749,22331306500
2020-06-17,2932.671,2936.616,2919.035,2935.873,23465439100
2020-06-18,2929.88,2942.898,2920.105,2939.315,25869137700
2020-06-19,2938.789,2973.316,2935.824,2967.634,26431396100
2020-06-22,2966.901,2983.438,2959.035,2965.272,26788383400
2020-06-23,2960.888,2972.403,2949.847,2970.62,22521220800
2020-06-24,2972.983,2982.943,2971.224,2979.551,21320073200
2020-06-29,2973.076,2977.912,2951.77,2961.516,22062272900
2020-06-30,2965.105,2990.825,2965.105,2984.674,21495721400
2020-07-01,2991.181,3026.186,2984.984,3025.981,27331314000
2020-07-02,3023.719,3092.443,3021.674,3090.569,39112799600
2020-07-03,3103.995,3152.813,3103.995,3152.813,45879385100
2020-07-06,3187.839,3337.272,3187.839,3332.881,64387890600
2020-07-07,3380.954,3407.081,3336.242,3345.337,65784015900
2020-07-08,3337.552,3421.531,3327.706,3403.44,58708168500
2020-07-09,3403.483,3456.972,3393.638,3450.594,62000182300
2020-07-10,3418.935,3433.109,3372.507,3383.322,55612001100
2020-07-13,3379.387,3458.791,3369.038,3443.286,55800687500
2020-07-14,3435.024,3451.222,3366.083,3414.619,54321149200
2020-07-15,3422.078,3432.451,3345.749,3361.304,49203054200
2020-07-16,3356.359,3373.532,3209.727,3210.099,49061312300
2020-07-17,3214.402,3252.779,3181.275,3214.129,35965241300
2020-07-20,3243.911,3314.149,3220.684,3314.149,41855530600
